2023 National Employment Matrix title,2023 National Employment Matrix code,Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,xlsx_ooh_link
"Engineering technologists and technicians, except drafters, all other",17-3029,Associate's degree,None,None,—
Surveying and mapping technicians,17-3031,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Animal scientists,19-1011,Bachelor's degree,None,None,OOH Content
Food scientists and technologists,19-1012,Bachelor's degree,None,None,OOH Content
Soil and plant scientists,19-1013,Bachelor's degree,None,None,OOH Content
Biochemists and biophysicists,19-1021,Doctoral or professional degree,None,None,OOH Content
Microbiologists,19-1022,Bachelor's degree,None,None,OOH Content
Zoologists and wildlife biologists,19-1023,Bachelor's degree,None,None,OOH Content
"Biological scientists, all other",19-1029,Bachelor's degree,None,None,—
Conservation scientists,19-1031,Bachelor's degree,None,None,OOH Content
Foresters,19-1032,Bachelor's degree,None,None,OOH Content
Epidemiologists,19-1041,Master's degree,None,None,OOH Content
"Medical scientists, except epidemiologists",19-1042,Doctoral or professional degree,None,None,OOH Content
"Life scientists, all other",19-1099,Bachelor's degree,None,None,—
Astronomers,19-2011,Doctoral or professional degree,None,None,OOH Content
Physicists,19-2012,Doctoral or professional degree,None,None,OOH Content
Atmospheric and space scientists,19-2021,Bachelor's degree,None,None,OOH Content
Chemists,19-2031,Bachelor's degree,None,None,OOH Content
Materials scientists,19-2032,Bachelor's degree,None,None,OOH Content
"Environmental scientists and specialists, including health",19-2041,Bachelor's degree,None,None,OOH Content
"Geoscientists, except hydrologists and geographers",19-2042,Bachelor's degree,None,None,OOH Content
Hydrologists,19-2043,Bachelor's degree,None,None,OOH Content
"Physical scientists, all other",19-2099,Bachelor's degree,None,None,—
Economists,19-3011,Master's degree,None,None,OOH Content
Survey researchers,19-3022,Master's degree,None,None,OOH Content
Industrial-organizational psychologists,19-3032,Master's degree,None,Internship/residency,OOH Content
Clinical and counseling psychologists,19-3033,Doctoral or professional degree,None,Internship/residency,OOH Content
School psychologists,19-3034,Master's degree,None,Internship/residency,OOH Content
"Psychologists, all other",19-3039,Master's degree,None,Internship/residency,OOH Content
Sociologists,19-3041,Master's degree,None,None,OOH Content
Urban and regional planners,19-3051,Master's degree,None,None,OOH Content
Anthropologists and archeologists,19-3091,Master's degree,None,None,OOH Content
Geographers,19-3092,Bachelor's degree,None,None,OOH Content
Historians,19-3093,Master's degree,None,None,OOH Content
Political scientists,19-3094,Master's degree,None,None,OOH Content
"Social scientists and related workers, all other",19-3099,Bachelor's degree,None,None,—
Agricultural technicians,19-4012,Associate's degree,None,Moderate-term on-the-job training,OOH Content
Food science technicians,19-4013,Associate's degree,None,Moderate-term on-the-job training,OOH Content
Biological technicians,19-4021,Bachelor's degree,None,None,OOH Content
Chemical technicians,19-4031,Associate's degree,None,Moderate-term on-the-job training,OOH Content
"Environmental science and protection technicians, including health",19-4042,Associate's degree,None,None,OOH Content
"Geological technicians, except hydrologic technicians",19-4043,Associate's degree,None,Moderate-term on-the-job training,OOH Content
Hydrologic technicians,19-4044,Associate's degree,None,Moderate-term on-the-job training,OOH Content
Nuclear technicians,19-4051,Associate's degree,None,Moderate-term on-the-job training,OOH Content
Social science research assistants,19-4061,Bachelor's degree,None,None,—
Forest and conservation technicians,19-4071,Associate's degree,None,None,—
Forensic science technicians,19-4092,Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
"Life, physical, and social science technicians, all other",19-4099,Associate's degree,None,None,—
Occupational health and safety specialists,19-5011,Bachelor's degree,None,None,OOH Content
Occupational health and safety technicians,19-5012,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"Educational, guidance, and career counselors and advisors",21-1012,Master's degree,None,None,OOH Content
Marriage and family therapists,21-1013,Master's degree,None,Internship/residency,OOH Content
Rehabilitation counselors,21-1015,Master's degree,None,None,OOH Content
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,Master's degree,None,Internship/residency,OOH Content
"Counselors, all other",21-1019,Master's degree,None,None,—
"Child, family, and school social workers",21-1021,Bachelor's degree,None,None,OOH Content
Healthcare social workers,21-1022,Master's degree,None,Internship/residency,OOH Content
Mental health and substance abuse social workers,21-1023,Master's degree,None,Internship/residency,OOH Content
"Social workers, all other",21-1029,Bachelor's degree,None,None,OOH Content
Health education specialists,21-1091,Bachelor's degree,None,None,OOH Content
Probation officers and correctional treatment specialists,21-1092,Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
Social and human service assistants,21-1093,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Community health workers,21-1094,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Community and social service specialists, all other",21-1099,Bachelor's degree,None,None,—
Clergy,21-2011,Bachelor's degree,None,Moderate-term on-the-job training,—
"Directors, religious activities and education",21-2021,Bachelor's degree,Less than 5 years,None,—
"Religious workers, all other",21-2099,Bachelor's degree,None,None,—
Lawyers,23-1011,Doctoral or professional degree,None,None,OOH Content
Judicial law clerks,23-1012,Doctoral or professional degree,None,None,—
"Administrative law judges, adjudicators, and hearing officers",23-1021,Doctoral or professional degree,5 years or more,Short-term on-the-job training,OOH Content
"Arbitrators, mediators, and conciliators",23-1022,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,OOH Content
"Judges, magistrate judges, and magistrates",23-1023,Doctoral or professional degree,5 years or more,Short-term on-the-job training,OOH Content
Paralegals and legal assistants,23-2011,Associate's degree,None,None,OOH Content
"Title examiners, abstractors, and searchers",23-2093,High school diploma or equivalent,None,Moderate-term on-the-job training,—
"Legal support workers, all other",23-2099,Associate's degree,None,None,—
"Business teachers, postsecondary",25-1011,Doctoral or professional degree,None,None,OOH Content
"Computer science teachers, postsecondary",25-1021,Doctoral or professional degree,None,None,OOH Content
"Mathematical science teachers, postsecondary",25-1022,Doctoral or professional degree,None,None,OOH Content
"Architecture teachers, postsecondary",25-1031,Doctoral or professional degree,None,None,OOH Content
"Engineering teachers, postsecondary",25-1032,Doctoral or professional degree,None,None,OOH Content
"Agricultural sciences teachers, postsecondary",25-1041,Doctoral or professional degree,None,None,OOH Content
"Biological science teachers, postsecondary",25-1042,Doctoral or professional degree,None,None,OOH Content
"Forestry and conservation science teachers, postsecondary",25-1043,Doctoral or professional degree,None,None,OOH Content
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Doctoral or professional degree,None,None,OOH Content
"Chemistry teachers, postsecondary",25-1052,Doctoral or professional degree,None,None,OOH Content
"Environmental science teachers, postsecondary",25-1053,Doctoral or professional degree,None,None,OOH Content
"Physics teachers, postsecondary",25-1054,Doctoral or professional degree,None,None,OOH Content
"Anthropology and archeology teachers, postsecondary",25-1061,Doctoral or professional degree,None,None,OOH Content
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Doctoral or professional degree,None,None,OOH Content
"Economics teachers, postsecondary",25-1063,Doctoral or professional degree,None,None,OOH Content
"Geography teachers, postsecondary",25-1064,Doctoral or professional degree,None,None,OOH Content
"Political science teachers, postsecondary",25-1065,Doctoral or professional degree,None,None,OOH Content
"Psychology teachers, postsecondary",25-1066,Doctoral or professional degree,None,None,OOH Content
"Sociology teachers, postsecondary",25-1067,Doctoral or professional degree,None,None,OOH Content
"Social sciences teachers, postsecondary, all other",25-1069,Doctoral or professional degree,None,None,OOH Content
"Health specialties teachers, postsecondary",25-1071,Doctoral or professional degree,Less than 5 years,None,OOH Content
"Nursing instructors and teachers, postsecondary",25-1072,Doctoral or professional degree,Less than 5 years,None,OOH Content
"Education teachers, postsecondary",25-1081,Doctoral or professional degree,Less than 5 years,None,OOH Content
"Library science teachers, postsecondary",25-1082,Doctoral or professional degree,None,None,OOH Content
"Criminal justice and law enforcement teachers, postsecondary",25-1111,Doctoral or professional degree,None,None,OOH Content
"Law teachers, postsecondary",25-1112,Doctoral or professional degree,Less than 5 years,None,OOH Content
"Social work teachers, postsecondary",25-1113,Doctoral or professional degree,None,None,OOH Content
"Art, drama, and music teachers, postsecondary",25-1121,Master's degree,None,None,OOH Content
"Communications teachers, postsecondary",25-1122,Doctoral or professional degree,None,None,OOH Content
"English language and literature teachers, postsecondary",25-1123,Doctoral or professional degree,None,None,OOH Content
"Foreign language and literature teachers, postsecondary",25-1124,Doctoral or professional degree,None,None,OOH Content
"History teachers, postsecondary",25-1125,Doctoral or professional degree,None,None,OOH Content
"Philosophy and religion teachers, postsecondary",25-1126,Doctoral or professional degree,None,None,OOH Content
"Family and consumer sciences teachers, postsecondary",25-1192,Doctoral or professional degree,None,None,OOH Content
"Recreation and fitness studies teachers, postsecondary",25-1193,Doctoral or professional degree,None,None,OOH Content
"Career/technical education teachers, postsecondary",25-1194,Bachelor's degree,Less than 5 years,None,OOH Content
"Postsecondary teachers, all other",25-1199,Doctoral or professional degree,None,None,—
"Preschool teachers, except special education",25-2011,Associate's degree,None,None,OOH Content
"Kindergarten teachers, except special education",25-2012,Bachelor's degree,None,None,OOH Content
"Elementary school teachers, except special education",25-2021,Bachelor's degree,None,None,OOH Content
"Middle school teachers, except special and career/technical education",25-2022,Bachelor's degree,None,None,OOH Content
"Career/technical education teachers, middle school",25-2023,Bachelor's degree,Less than 5 years,None,OOH Content
"Secondary school teachers, except special and career/technical education",25-2031,Bachelor's degree,None,None,OOH Content
"Career/technical education teachers, secondary school",25-2032,Bachelor's degree,Less than 5 years,None,OOH Content
"Special education teachers, preschool",25-2051,Bachelor's degree,None,None,OOH Content
"Special education teachers, kindergarten and elementary school",25-2052,Bachelor's degree,None,None,OOH Content
"Special education teachers, middle school",25-2057,Bachelor's degree,None,None,OOH Content
"Special education teachers, secondary school",25-2058,Bachelor's degree,None,None,OOH Content
"Special education teachers, all other",25-2059,Bachelor's degree,None,None,OOH Content
"Adult basic education, adult secondary education, and english as a second language instructors",25-3011,Bachelor's degree,None,None,OOH Content
Self-enrichment teachers,25-3021,High school diploma or equivalent,Less than 5 years,None,—
"Substitute teachers, short-term",25-3031,Bachelor's degree,None,None,—
Tutors,25-3041,"Some college, no degree",None,None,OOH Content
"Teachers and instructors, all other",25-3099,Bachelor's degree,None,None,—
Archivists,25-4011,Master's degree,None,None,OOH Content
Curators,25-4012,Master's degree,None,None,OOH Content
Museum technicians and conservators,25-4013,Bachelor's degree,None,None,OOH Content
Librarians and media collections specialists,25-4022,Master's degree,None,None,OOH Content
Library technicians,25-4031,Postsecondary nondegree award,None,None,OOH Content
Farm and home management educators,25-9021,Master's degree,None,None,—
Instructional coordinators,25-9031,Master's degree,5 years or more,None,OOH Content
"Teaching assistants, postsecondary",25-9044,Bachelor's degree,None,None,—
"Teaching assistants, except postsecondary",25-9045,"Some college, no degree",None,None,OOH Content
"Educational instruction and library workers, all other",25-9099,Bachelor's degree,None,None,—
Art directors,27-1011,Bachelor's degree,5 years or more,None,OOH Content
Craft artists,27-1012,No formal educational credential,None,Long-term on-the-job training,OOH Content
"Fine artists, including painters, sculptors, and illustrators",27-1013,Bachelor's degree,None,Long-term on-the-job training,OOH Content
Special effects artists and animators,27-1014,Bachelor's degree,None,None,OOH Content
"Artists and related workers, all other",27-1019,No formal educational credential,None,Long-term on-the-job training,OOH Content
Commercial and industrial designers,27-1021,Bachelor's degree,None,None,OOH Content
Fashion designers,27-1022,Bachelor's degree,None,None,OOH Content
Floral designers,27-1023,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Graphic designers,27-1024,Bachelor's degree,None,None,OOH Content
Interior designers,27-1025,Bachelor's degree,None,None,OOH Content
Merchandise displayers and window trimmers,27-1026,High school diploma or equivalent,None,Short-term on-the-job training,—
Set and exhibit designers,27-1027,Bachelor's degree,None,None,OOH Content
"Designers, all other",27-1029,Bachelor's degree,None,None,—
Actors,27-2011,"Some college, no degree",None,Long-term on-the-job training,OOH Content
Producers and directors,27-2012,Bachelor's degree,Less than 5 years,None,OOH Content
Athletes and sports competitors,27-2021,No formal educational credential,None,Long-term on-the-job training,OOH Content
Coaches and scouts,27-2022,Bachelor's degree,None,None,OOH Content
"Umpires, referees, and other sports officials",27-2023,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Dancers,27-2031,No formal educational credential,None,Long-term on-the-job training,OOH Content
Choreographers,27-2032,High school diploma or equivalent,5 years or more,Long-term on-the-job training,OOH Content
Music directors and composers,27-2041,Bachelor's degree,Less than 5 years,None,OOH Content
Musicians and singers,27-2042,No formal educational credential,None,Long-term on-the-job training,OOH Content
"Disc jockeys, except radio",27-2091,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Entertainers and performers, sports and related workers, all other",27-2099,No formal educational credential,None,Short-term on-the-job training,—
Broadcast announcers and radio disc jockeys,27-3011,Bachelor's degree,None,None,OOH Content
"News analysts, reporters, and journalists",27-3023,Bachelor's degree,None,None,OOH Content
Public relations specialists,27-3031,Bachelor's degree,None,None,OOH Content
Editors,27-3041,Bachelor's degree,Less than 5 years,None,OOH Content
Technical writers,27-3042,Bachelor's degree,Less than 5 years,Short-term on-the-job training,OOH Content
Writers and authors,27-3043,Bachelor's degree,None,Long-term on-the-job training,OOH Content
Interpreters and translators,27-3091,Bachelor's degree,None,None,OOH Content
Court reporters and simultaneous captioners,27-3092,Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content
"Media and communication workers, all other",27-3099,High school diploma or equivalent,None,Short-term on-the-job training,—
Audio and video technicians,27-4011,Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content
Broadcast technicians,27-4012,Associate's degree,None,Short-term on-the-job training,OOH Content
Sound engineering technicians,27-4014,Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content
Lighting technicians,27-4015,Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content
Photographers,27-4021,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"Camera operators, television, video, and film",27-4031,Bachelor's degree,None,None,OOH Content
Film and video editors,27-4032,Bachelor's degree,None,None,OOH Content
"Media and communication equipment workers, all other",27-4099,High school diploma or equivalent,None,Short-term on-the-job training,—
Chiropractors,29-1011,Doctoral or professional degree,None,None,OOH Content
"Dentists, general",29-1021,Doctoral or professional degree,None,None,OOH Content
Oral and maxillofacial surgeons,29-1022,Doctoral or professional degree,None,Internship/residency,OOH Content
Orthodontists,29-1023,Doctoral or professional degree,None,Internship/residency,OOH Content
Prosthodontists,29-1024,Doctoral or professional degree,None,Internship/residency,OOH Content
"Dentists, all other specialists",29-1029,Doctoral or professional degree,None,Internship/residency,OOH Content
Dietitians and nutritionists,29-1031,Bachelor's degree,None,Internship/residency,OOH Content
Optometrists,29-1041,Doctoral or professional degree,None,None,OOH Content
Pharmacists,29-1051,Doctoral or professional degree,None,None,OOH Content
Physician assistants,29-1071,Master's degree,None,None,OOH Content
Podiatrists,29-1081,Doctoral or professional degree,None,Internship/residency,OOH Content
Occupational therapists,29-1122,Master's degree,None,None,OOH Content
Physical therapists,29-1123,Doctoral or professional degree,None,None,OOH Content
Radiation therapists,29-1124,Associate's degree,None,None,OOH Content
Recreational therapists,29-1125,Bachelor's degree,None,None,OOH Content
Respiratory therapists,29-1126,Associate's degree,None,None,OOH Content
Speech-language pathologists,29-1127,Master's degree,None,Internship/residency,OOH Content
Exercise physiologists,29-1128,Bachelor's degree,None,None,OOH Content
"Therapists, all other",29-1129,Bachelor's degree,None,None,—
Veterinarians,29-1131,Doctoral or professional degree,None,None,OOH Content
Registered nurses,29-1141,Bachelor's degree,None,None,OOH Content
Nurse anesthetists,29-1151,Master's degree,None,None,OOH Content
Nurse midwives,29-1161,Master's degree,None,None,OOH Content
Nurse practitioners,29-1171,Master's degree,None,None,OOH Content
Audiologists,29-1181,Doctoral or professional degree,None,None,OOH Content
Anesthesiologists,29-1211,Doctoral or professional degree,None,Internship/residency,OOH Content
Cardiologists,29-1212,Doctoral or professional degree,None,Internship/residency,OOH Content
Dermatologists,29-1213,Doctoral or professional degree,None,Internship/residency,OOH Content
Emergency medicine physicians,29-1214,Doctoral or professional degree,None,Internship/residency,OOH Content
Family medicine physicians,29-1215,Doctoral or professional degree,None,Internship/residency,OOH Content
General internal medicine physicians,29-1216,Doctoral or professional degree,None,Internship/residency,OOH Content
Neurologists,29-1217,Doctoral or professional degree,None,Internship/residency,OOH Content
Obstetricians and gynecologists,29-1218,Doctoral or professional degree,None,Internship/residency,OOH Content
"Pediatricians, general",29-1221,Doctoral or professional degree,None,Internship/residency,OOH Content
"Physicians, pathologists",29-1222,Doctoral or professional degree,None,Internship/residency,OOH Content
Psychiatrists,29-1223,Doctoral or professional degree,None,Internship/residency,OOH Content
Radiologists,29-1224,Doctoral or professional degree,None,Internship/residency,OOH Content
"Physicians, all other",29-1229,Doctoral or professional degree,None,Internship/residency,OOH Content
"Ophthalmologists, except pediatric",29-1241,Doctoral or professional degree,None,Internship/residency,OOH Content
"Orthopedic surgeons, except pediatric",29-1242,Doctoral or professional degree,None,Internship/residency,OOH Content
Pediatric surgeons,29-1243,Doctoral or professional degree,None,Internship/residency,OOH Content
"Surgeons, all other",29-1249,Doctoral or professional degree,None,Internship/residency,OOH Content
Acupuncturists,29-1291,Master's degree,None,None,—
Dental hygienists,29-1292,Associate's degree,None,None,OOH Content
"Healthcare diagnosing or treating practitioners, all other",29-1299,Master's degree,None,None,—
Clinical laboratory technologists and technicians,29-2010,Bachelor's degree,None,None,OOH Content
Cardiovascular technologists and technicians,29-2031,Associate's degree,None,None,OOH Content
Diagnostic medical sonographers,29-2032,Associate's degree,None,None,OOH Content
Nuclear medicine technologists,29-2033,Associate's degree,None,None,OOH Content
Radiologic technologists and technicians,29-2034,Associate's degree,None,None,OOH Content
Magnetic resonance imaging technologists,29-2035,Associate's degree,Less than 5 years,None,OOH Content
Medical dosimetrists,29-2036,Bachelor's degree,None,None,OOH Content
Emergency medical technicians,29-2042,Postsecondary nondegree award,None,None,OOH Content
Paramedics,29-2043,Postsecondary nondegree award,Less than 5 years,None,OOH Content
Dietetic technicians,29-2051,Associate's degree,None,None,—
Pharmacy technicians,29-2052,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Psychiatric technicians,29-2053,Postsecondary nondegree award,Less than 5 years,Short-term on-the-job training,OOH Content
Surgical technologists,29-2055,Postsecondary nondegree award,None,None,OOH Content
Veterinary technologists and technicians,29-2056,Associate's degree,None,None,OOH Content
Ophthalmic medical technicians,29-2057,Postsecondary nondegree award,None,None,—
