AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"5,660",14.7,0.315,3.72,,,65.60,"136,450",6.5,24.35,31.30,49.66,84.60,#,"50,650","65,100","103,290","175,960",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,"47,150",1.5,2.628,0.83,,,40.63,"84,510",0.7,23.12,29.16,37.37,48.50,62.25,"48,090","60,650","77,720","100,880","129,480",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"24,880",2.6,1.386,0.72,,,40.47,"84,170",0.7,25.99,30.66,38.52,48.24,57.48,"54,060","63,770","80,120","100,340","119,560",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",detailed,610,13.1,0.034,0.59,,,39.87,"82,930",2.2,29.03,35.00,38.86,47.93,49.47,"60,380","72,800","80,830","99,700","102,900",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,"49,320",1.6,2.749,1.09,,,44.63,"92,840",0.8,24.57,30.78,40.86,54.97,66.34,"51,110","64,020","84,990","114,340","137,990",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,"25,850",4.3,1.441,0.99,,,43.93,"91,360",1.5,23.87,30.13,39.38,51.93,67.32,"49,650","62,670","81,910","108,010","140,030",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,"96,920",1.1,5.401,0.92,,,43.32,"90,110",0.5,23.33,29.89,38.40,50.64,67.53,"48,530","62,180","79,870","105,330","140,450",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1074,Farm Labor Contractors,detailed,200,36.8,0.011,3.73,,,32.76,"68,130",8.2,17.98,23.14,33.78,42.40,47.14,"37,400","48,140","70,260","88,190","98,050",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,"8,060",3.3,0.449,1.09,,,53.34,"110,950",1.9,33.07,39.38,50.75,61.68,74.96,"68,790","81,910","105,560","128,300","155,920",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,"29,940",2.3,1.668,1.11,,,45.34,"94,310",1.1,24.93,32.13,43.24,55.24,66.92,"51,850","66,830","89,940","114,900","139,200",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1082,Project Management Specialists,detailed,"114,640",1.8,6.388,1.02,,,56.45,"117,410",0.6,30.45,38.64,51.91,66.99,82.80,"63,340","80,360","107,980","139,340","172,220",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,"110,430",3.8,6.153,1.11,,,57.39,"119,370",1.7,28.87,36.91,47.98,65.00,92.09,"60,060","76,770","99,800","135,200","191,540",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1121,"Meeting, Convention, and Event Planners",detailed,"16,600",6.0,0.925,1.15,,,33.31,"69,280",1.3,18.81,23.15,29.93,38.37,51.61,"39,130","48,160","62,250","79,820","107,340",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1131,Fundraisers,detailed,"10,050",5.8,0.560,0.84,,,39.15,"81,430",1.7,22.50,27.87,36.39,45.79,62.23,"46,790","57,980","75,680","95,240","129,430",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"13,970",3.3,0.778,1.18,,,44.98,"93,550",1.5,27.29,31.40,39.84,51.95,68.50,"56,750","65,320","82,870","108,060","142,480",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,"43,810",2.6,2.441,0.92,,,38.09,"79,240",1.4,17.53,23.03,33.71,47.55,63.72,"36,450","47,900","70,120","98,910","132,530",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,"113,630",3.4,6.332,1.14,,,48.10,"100,040",1.0,22.13,29.70,39.95,62.30,81.98,"46,020","61,770","83,090","129,590","170,520",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-1199,"Business Operations Specialists, All Other",detailed,"164,560",3.9,9.170,1.26,,,49.44,"102,840",1.6,21.18,29.01,40.20,61.02,84.74,"44,050","60,340","83,610","126,930","176,250",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,"166,020",1.3,9.251,0.98,,,48.35,"100,560",0.7,28.64,35.38,44.31,57.43,76.60,"59,570","73,580","92,160","119,460","159,330",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,detailed,"5,160",4.9,0.288,0.70,,,43.42,"90,310",6.0,24.15,30.60,39.71,51.79,64.31,"50,240","63,650","82,590","107,730","133,760",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2031,Budget Analysts,detailed,"4,770",2.8,0.266,0.85,,,49.52,"102,990",0.7,31.01,37.72,48.04,59.76,71.27,"64,490","78,450","99,920","124,290","148,240",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2041,Credit Analysts,detailed,"6,260",7.8,0.349,0.72,,,47.70,"99,220",3.9,24.30,30.28,39.05,59.29,82.53,"50,550","62,980","81,220","123,330","171,660",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2051,Financial and Investment Analysts,detailed,"35,660",2.7,1.987,0.93,,,60.20,"125,220",1.3,32.35,40.37,52.44,71.14,90.38,"67,290","83,960","109,080","147,960","187,990",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,detailed,"32,100",4.5,1.789,1.00,,,68.86,"143,240",3.3,29.09,36.57,49.68,78.46,#,"60,500","76,070","103,330","163,190",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2053,Insurance Underwriters,detailed,"6,960",10.3,0.388,0.58,,,44.82,"93,220",2.9,29.14,33.93,39.50,51.00,64.81,"60,620","70,570","82,150","106,080","134,810",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2054,Financial Risk Specialists,detailed,"4,860",5.3,0.271,0.74,,,58.14,"120,920",2.0,31.35,38.19,52.48,73.59,91.47,"65,210","79,430","109,160","153,080","190,260",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2061,Financial Examiners,detailed,"3,230",4.6,0.180,0.43,,,52.72,"109,660",1.5,29.40,36.77,48.27,62.53,86.36,"61,140","76,470","100,400","130,060","179,630",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2071,Credit Counselors,detailed,"2,470",5.3,0.138,0.75,,,31.76,"66,050",2.0,21.81,24.02,30.02,35.92,42.59,"45,370","49,970","62,430","74,720","88,590",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2072,Loan Officers,detailed,"30,520",3.3,1.701,0.80,,,42.79,"89,010",2.4,16.58,23.73,35.28,49.01,76.74,"34,480","49,360","73,380","101,940","159,610",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"7,840",0.1,0.437,1.32,,,36.73,"76,390",0.1,22.45,25.54,33.79,43.95,58.40,"46,700","53,120","70,280","91,420","121,470",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2082,Tax Preparers,detailed,"13,250",7.5,0.738,1.37,,,34.01,"70,740",3.9,16.70,19.17,31.23,45.37,58.45,"34,740","39,870","64,950","94,370","121,580",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-2099,"Financial Specialists, All Other",detailed,"14,790",3.8,0.824,1.02,,,44.69,"92,960",10.7,22.61,28.94,37.74,52.17,74.22,"47,030","60,180","78,500","108,510","154,380",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,"759,060",0.6,42.297,1.24,,,68.40,"142,270",0.5,31.12,44.95,65.27,84.30,102.82,"64,730","93,490","135,760","175,340","213,870",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"49,930",3.4,2.782,0.85,,,62.22,"129,420",0.8,36.31,46.51,59.79,75.56,89.16,"75,520","96,750","124,370","157,170","185,460",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1212,Information Security Analysts,detailed,"16,510",4.5,0.920,0.80,,,67.66,"140,730",1.0,30.70,48.63,65.02,81.98,102.24,"63,860","101,150","135,250","170,520","212,650",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,"7,560",3.9,0.421,1.82,,,90.11,"187,420",2.4,45.77,65.92,84.39,102.48,#,"95,210","137,110","175,530","213,150",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,detailed,"13,400",5.1,0.747,0.71,,,40.36,"83,940",2.5,24.06,28.85,36.60,47.02,60.88,"50,040","60,000","76,120","97,810","126,630",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,"67,630",2.6,3.768,0.83,,,38.44,"79,950",0.7,22.53,28.30,36.11,47.28,57.29,"46,860","58,850","75,110","98,330","119,160",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1241,Computer Network Architects,detailed,"17,560",2.7,0.978,0.85,,,73.70,"153,300",1.1,38.35,51.26,69.70,89.92,106.83,"79,760","106,630","144,980","187,030","222,200",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,"8,070",10.2,0.450,0.90,,,55.95,"116,380",1.5,29.56,37.68,53.93,68.12,84.09,"61,480","78,370","112,170","141,680","174,910",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1243,Database Architects,detailed,"6,120",4.5,0.341,0.86,,,78.20,"162,660",1.0,45.06,62.58,78.01,93.73,109.71,"93,720","130,170","162,250","194,960","228,200",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1244,Network and Computer Systems Administrators,detailed,"29,130",3.5,1.623,0.76,,,55.18,"114,770",2.3,31.00,39.14,51.18,65.31,82.05,"64,480","81,420","106,450","135,850","170,660",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,detailed,"20,680",9.1,1.152,1.45,,,59.93,"124,660",2.9,31.30,39.47,55.18,72.26,86.72,"65,110","82,090","114,780","150,310","180,380",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1252,Software Developers,detailed,"304,390",1.1,16.961,1.55,,,83.55,"173,780",0.8,49.64,65.04,81.09,100.92,108.97,"103,240","135,280","168,660","209,910","226,670",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1253,Software Quality Assurance Analysts and Testers,detailed,"32,940",2.3,1.835,1.37,,,63.82,"132,750",0.7,34.56,45.92,62.21,78.06,94.58,"71,890","95,520","129,400","162,360","196,730",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1254,Web Developers,detailed,"10,590",10.7,0.590,1.05,,,58.41,"121,490",4.5,24.25,35.87,53.80,74.36,98.54,"50,440","74,610","111,910","154,680","204,960",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1255,Web and Digital Interface Designers,detailed,"25,370",2.9,1.414,1.93,,,65.95,"137,180",1.6,28.52,39.47,61.42,82.82,101.20,"59,310","82,090","127,760","172,270","210,500",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1299,"Computer Occupations, All Other",detailed,"91,510",2.0,5.099,1.77,,,60.89,"126,640",0.9,22.72,36.42,59.41,80.18,100.43,"47,260","75,750","123,570","166,760","208,900",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-2011,Actuaries,detailed,870,7.2,0.048,0.29,,,61.57,"128,060",3.4,29.84,44.05,58.00,76.52,92.40,"62,070","91,610","120,650","159,160","192,190",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-2021,Mathematicians,detailed,250,15.4,0.014,0.94,,,63.25,"131,560",2.9,41.33,50.73,67.93,71.27,82.88,"85,970","105,520","141,290","148,240","172,390",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-2031,Operations Research Analysts,detailed,"20,100",1.5,1.120,1.44,,,44.30,"92,150",0.4,31.83,34.48,39.84,47.17,64.93,"66,210","71,730","82,870","98,120","135,050",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-2041,Statisticians,detailed,"2,800",5.9,0.156,0.79,,,62.16,"129,290",1.1,23.10,42.99,60.51,81.27,95.30,"48,040","89,420","125,860","169,040","198,220",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"33,220",1.9,1.851,1.46,,,67.54,"140,490",0.8,32.72,45.31,64.27,83.29,102.44,"68,050","94,240","133,690","173,250","213,080",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-2099,"Mathematical Science Occupations, All Other",detailed,440,29.4,0.025,0.87,,,66.75,"138,840",11.7,28.48,41.67,74.59,83.61,98.63,"59,240","86,670","155,150","173,900","205,150",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,"337,470",0.9,18.805,1.12,,,58.61,"121,910",0.5,30.24,39.23,52.24,74.24,94.88,"62,890","81,610","108,660","154,420","197,350",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-1011,"Architects, Except Landscape and Naval",detailed,"15,370",4.1,0.857,1.17,,,58.07,"120,780",4.3,30.52,38.71,48.12,65.29,86.83,"63,480","80,530","100,090","135,800","180,610",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-1012,Landscape Architects,detailed,"2,850",9.7,0.159,1.18,,,46.43,"96,570",4.3,27.73,33.20,44.31,56.23,69.86,"57,680","69,050","92,170","116,970","145,300",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-1021,Cartographers and Photogrammetrists,detailed,"1,140",8.4,0.064,0.78,,,48.50,"100,870",2.2,31.61,38.35,47.51,57.49,63.01,"65,760","79,760","98,810","119,580","131,070",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-1022,Surveyors,detailed,"4,520",9.3,0.252,0.75,,,50.62,"105,290",2.3,30.05,38.93,49.35,61.53,69.44,"62,510","80,960","102,650","127,990","144,440",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-2011,Aerospace Engineers,detailed,"11,130",6.8,0.620,1.41,,,68.78,"143,050",2.7,45.00,50.12,62.85,83.35,101.62,"93,600","104,250","130,720","173,360","211,360",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-2021,Agricultural Engineers,detailed,**,**,**,**,,,48.55,"100,990",6.8,40.23,41.54,44.53,49.26,59.12,"83,680","86,390","92,620","102,470","122,970",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-2031,Bioengineers and Biomedical Engineers,detailed,"2,780",5.9,0.155,1.22,,,56.77,"118,090",1.6,37.82,44.06,52.38,64.57,80.41,"78,670","91,640","108,950","134,300","167,250",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-2041,Chemical Engineers,detailed,"1,550",16.3,0.086,0.62,,,57.80,"120,230",2.6,37.09,45.24,53.33,66.61,83.38,"77,150","94,100","110,920","138,540","173,430",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-2051,Civil Engineers,detailed,"49,010",2.6,2.731,1.26,,,55.34,"115,100",1.0,34.79,39.86,50.50,66.46,80.51,"72,360","82,900","105,040","138,240","167,460",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-2061,Computer Hardware Engineers,detailed,"29,930",3.7,1.668,3.06,,,83.30,"173,270",1.7,51.71,64.56,81.59,99.44,109.27,"107,550","134,290","169,700","206,830","227,270",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-2071,Electrical Engineers,detailed,"28,170",2.5,1.570,1.29,,,70.84,"147,340",1.0,39.46,49.44,66.89,84.95,101.94,"82,080","102,840","139,140","176,690","212,040",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-2072,"Electronics Engineers, Except Computer",detailed,"19,060",4.7,1.062,1.67,,,72.35,"150,490",1.6,42.11,51.67,69.75,87.96,102.87,"87,590","107,480","145,080","182,960","213,980",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-2081,Environmental Engineers,detailed,"5,910",10.6,0.329,1.25,,,56.89,"118,320",3.9,38.35,40.06,53.83,66.50,80.51,"79,770","83,320","111,970","138,320","167,460",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"2,230",10.8,0.124,0.84,,,61.81,"128,560",1.3,39.86,50.73,61.54,71.15,82.35,"82,900","105,510","127,990","147,990","171,290",,
