AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-39,"Education Administrators, All Other",detailed,"10,730",4.3,0.598,1.79
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-41,Architectural and Engineering Managers,detailed,"35,630",3.4,1.985,1.45
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-51,Food Service Managers,detailed,"44,500",3.9,2.48,1.53
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-71,Gambling Managers,detailed,790,1.9,0.044,1.46
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-72,"Entertainment and Recreation Managers, Except Gambling",detailed,"8,240",5.7,0.459,2.35
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-81,Lodging Managers,detailed,"6,220",6,0.346,1.25
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-11,Medical and Health Services Managers,detailed,"57,310",3,3.193,0.94
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-21,Natural Sciences Managers,detailed,"14,080",4.7,0.784,1.23
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-31,Postmasters and Mail Superintendents,detailed,790,0,0.044,0.49
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-41,"Property, Real Estate, and Community Association Managers",detailed,"50,100",3.3,2.792,1.49
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-51,Social and Community Service Managers,detailed,"28,260",4.3,1.575,1.38
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-61,Emergency Management Directors,detailed,790,2.9,0.044,0.56
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-71,Funeral Home Managers,detailed,790,6.4,0.044,0.47
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-79,"Personal Service Managers, All Other",detailed,"2,120",12.7,0.118,1.61
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-99,"Managers, All Other",detailed,"101,230",1.5,5.641,1.45
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,"1,210,190",0.5,67.435,1.02
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"5,660",14.7,0.315,3.72
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,"47,150",1.5,2.628,0.83
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"24,880",2.6,1.386,0.72
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",detailed,610,13.1,0.034,0.59
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,"49,320",1.6,2.749,1.09
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,"25,850",4.3,1.441,0.99
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,"96,920",1.1,5.401,0.92
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1074,Farm Labor Contractors,detailed,200,36.8,0.011,3.73
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,"8,060",3.3,0.449,1.09
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,"29,940",2.3,1.668,1.11
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1082,Project Management Specialists,detailed,"114,640",1.8,6.388,1.02
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,"110,430",3.8,6.153,1.11
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1121,"Meeting, Convention, and Event Planners",detailed,"16,600",6,0.925,1.15
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1131,Fundraisers,detailed,"10,050",5.8,0.56,0.84
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"13,970",3.3,0.778,1.18
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,"43,810",2.6,2.441,0.92
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,"113,630",3.4,6.332,1.14
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-1199,"Business Operations Specialists, All Other",detailed,"164,560",3.9,9.17,1.26
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,"166,020",1.3,9.251,0.98
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,detailed,"5,160",4.9,0.288,0.7
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2031,Budget Analysts,detailed,"4,770",2.8,0.266,0.85
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2041,Credit Analysts,detailed,"6,260",7.8,0.349,0.72
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2051,Financial and Investment Analysts,detailed,"35,660",2.7,1.987,0.93
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,detailed,"32,100",4.5,1.789,1
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2053,Insurance Underwriters,detailed,"6,960",10.3,0.388,0.58
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2054,Financial Risk Specialists,detailed,"4,860",5.3,0.271,0.74
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2061,Financial Examiners,detailed,"3,230",4.6,0.18,0.43
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2071,Credit Counselors,detailed,"2,470",5.3,0.138,0.75
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2072,Loan Officers,detailed,"30,520",3.3,1.701,0.8
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"7,840",0.1,0.437,1.32
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2082,Tax Preparers,detailed,"13,250",7.5,0.738,1.37
6,California,2,CA,0,Cross-industry,cross-industry,1235,13-2099,"Financial Specialists, All Other",detailed,"14,790",3.8,0.824,1.02
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,"759,060",0.6,42.297,1.24
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"49,930",3.4,2.782,0.85
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1212,Information Security Analysts,detailed,"16,510",4.5,0.92,0.8
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,"7,560",3.9,0.421,1.82
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,detailed,"13,400",5.1,0.747,0.71
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,"67,630",2.6,3.768,0.83
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1241,Computer Network Architects,detailed,"17,560",2.7,0.978,0.85
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,"8,070",10.2,0.45,0.9
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1243,Database Architects,detailed,"6,120",4.5,0.341,0.86
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1244,Network and Computer Systems Administrators,detailed,"29,130",3.5,1.623,0.76
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,detailed,"20,680",9.1,1.152,1.45
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1252,Software Developers,detailed,"304,390",1.1,16.961,1.55
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1253,Software Quality Assurance Analysts and Testers,detailed,"32,940",2.3,1.835,1.37
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1254,Web Developers,detailed,"10,590",10.7,0.59,1.05
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1255,Web and Digital Interface Designers,detailed,"25,370",2.9,1.414,1.93
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-1299,"Computer Occupations, All Other",detailed,"91,510",2,5.099,1.77
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-2011,Actuaries,detailed,870,7.2,0.048,0.29
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-2021,Mathematicians,detailed,250,15.4,0.014,0.94
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-2031,Operations Research Analysts,detailed,"20,100",1.5,1.12,1.44
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-2041,Statisticians,detailed,"2,800",5.9,0.156,0.79
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,"33,220",1.9,1.851,1.46
6,California,2,CA,0,Cross-industry,cross-industry,1235,15-2099,"Mathematical Science Occupations, All Other",detailed,440,29.4,0.025,0.87
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,"337,470",0.9,18.805,1.12
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-1011,"Architects, Except Landscape and Naval",detailed,"15,370",4.1,0.857,1.17
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-1012,Landscape Architects,detailed,"2,850",9.7,0.159,1.18
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-1021,Cartographers and Photogrammetrists,detailed,"1,140",8.4,0.064,0.78
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-1022,Surveyors,detailed,"4,520",9.3,0.252,0.75
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2011,Aerospace Engineers,detailed,"11,130",6.8,0.62,1.41
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2021,Agricultural Engineers,detailed,**,**,**,**
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2031,Bioengineers and Biomedical Engineers,detailed,"2,780",5.9,0.155,1.22
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2041,Chemical Engineers,detailed,"1,550",16.3,0.086,0.62
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2051,Civil Engineers,detailed,"49,010",2.6,2.731,1.26
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2061,Computer Hardware Engineers,detailed,"29,930",3.7,1.668,3.06
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2071,Electrical Engineers,detailed,"28,170",2.5,1.57,1.29
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2072,"Electronics Engineers, Except Computer",detailed,"19,060",4.7,1.062,1.67
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2081,Environmental Engineers,detailed,"5,910",10.6,0.329,1.25
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"2,230",10.8,0.124,0.84
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2112,Industrial Engineers,detailed,"24,640",2.5,1.373,0.63
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2121,Marine Engineers and Naval Architects,detailed,260,26.2,0.015,0.22
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2131,Materials Engineers,detailed,"3,100",6.1,0.173,1.06
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2141,Mechanical Engineers,detailed,"27,420",4.6,1.528,0.82
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,990,24.7,0.055,1.18
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2161,Nuclear Engineers,detailed,270,5.6,0.015,0.18
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2171,Petroleum Engineers,detailed,"1,550",19.9,0.087,0.65
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-2199,"Engineers, All Other",detailed,"31,490",3.3,1.755,1.77
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3011,Architectural and Civil Drafters,detailed,"13,350",4.7,0.744,1.02
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3012,Electrical and Electronics Drafters,detailed,"3,160",6.9,0.176,1.29
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3013,Mechanical Drafters,detailed,"4,170",5.3,0.232,0.79
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3019,"Drafters, All Other",detailed,"2,370",11.6,0.132,1.21
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,"1,530",15.2,0.085,1.21
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3022,Civil Engineering Technologists and Technicians,detailed,"6,460",6.8,0.36,0.86
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,"15,900",3.1,0.886,1.38
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,"2,280",6.6,0.127,1.26
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3025,Environmental Engineering Technologists and Technicians,detailed,"1,340",11.6,0.075,0.82
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3026,Industrial Engineering Technologists and Technicians,detailed,"4,210",7.7,0.235,0.49
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3027,Mechanical Engineering Technologists and Technicians,detailed,"3,350",8.6,0.187,0.73
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3028,Calibration Technologists and Technicians,detailed,"1,120",15.8,0.062,0.72
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,"9,930",4.8,0.553,1.27
6,California,2,CA,0,Cross-industry,cross-industry,1235,17-3031,Surveying and Mapping Technicians,detailed,"4,440",7.2,0.247,0.67
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-0000,"Life, Physical, and Social Science Occupations",major,"212,680",1.1,11.851,1.3
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-1011,Animal Scientists,detailed,130,42.1,0.007,0.43
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-1012,Food Scientists and Technologists,detailed,"3,300",9.2,0.184,1.98
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-1013,Soil and Plant Scientists,detailed,"1,710",39.5,0.095,0.91
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-1021,Biochemists and Biophysicists,detailed,"6,170",6.7,0.344,1.57
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-1022,Microbiologists,detailed,"3,120",8.2,0.174,1.23
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-1023,Zoologists and Wildlife Biologists,detailed,"1,620",20.2,0.09,0.8
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-1029,"Biological Scientists, All Other",detailed,"16,590",5.6,0.925,2.29
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-1031,Conservation Scientists,detailed,"1,840",4.7,0.103,0.68
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-1032,Foresters,detailed,930,17.1,0.052,0.84
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-1041,Epidemiologists,detailed,"1,200",4.2,0.067,0.99
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-1042,"Medical Scientists, Except Epidemiologists",detailed,"22,520",3.2,1.255,1.39
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-1099,"Life Scientists, All Other",detailed,"1,250",10.7,0.07,1.41
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-2011,Astronomers,detailed,220,22.7,0.012,0.89
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-2012,Physicists,detailed,"5,080",3.6,0.283,2.34
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-2021,Atmospheric and Space Scientists,detailed,710,3.2,0.039,0.64
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-2031,Chemists,detailed,"9,940",4.3,0.554,1.01
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-2032,Materials Scientists,detailed,790,13.4,0.044,0.76
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"12,590",4.4,0.701,1.32
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,"4,260",15.7,0.238,1.47
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-2043,Hydrologists,detailed,800,18.3,0.044,1.09
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-2099,"Physical Scientists, All Other",detailed,"2,470",9.4,0.138,1
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-3011,Economists,detailed,"1,570",19.2,0.087,0.81
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-3022,Survey Researchers,detailed,"1,110",7.1,0.062,1.15
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-3032,Industrial-Organizational Psychologists,detailed,240,41.3,0.013,1.96
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-3033,Clinical and Counseling Psychologists,detailed,"11,840",9.2,0.66,1.4
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-3034,School Psychologists,detailed,"11,150",6.8,0.622,1.5
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-3039,"Psychologists, All Other",detailed,"1,370",6.2,0.076,0.8
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-3041,Sociologists,detailed,840,8.1,0.047,2.45
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-3051,Urban and Regional Planners,detailed,"7,330",4.6,0.409,1.45
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-3091,Anthropologists and Archeologists,detailed,"1,270",22.7,0.071,1.39
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-3092,Geographers,detailed,110,5.3,0.006,0.62
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-3093,Historians,detailed,140,16.7,0.008,0.4
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-3094,Political Scientists,detailed,200,9.5,0.011,0.3
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-3099,"Social Scientists and Related Workers, All Other",detailed,"3,060",5.7,0.17,0.73
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-4012,Agricultural Technicians,detailed,"2,160",28.1,0.12,1.39
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-4013,Food Science Technicians,detailed,"4,130",9.4,0.23,2.3
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-4021,Biological Technicians,detailed,"11,790",4.4,0.657,1.3
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-4031,Chemical Technicians,detailed,"7,560",6.3,0.421,1.14
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,"5,390",9.4,0.301,1.41
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-4043,"Geological Technicians, Except Hydrologic Technicians",detailed,750,18,0.042,0.72
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-4044,Hydrologic Technicians,detailed,330,15.5,0.018,0.93
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-4051,Nuclear Technicians,detailed,**,**,**,**
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-4061,Social Science Research Assistants,detailed,"3,440",7.6,0.192,0.94
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-4071,Forest and Conservation Technicians,detailed,"6,010",3.8,0.335,1.77
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-4092,Forensic Science Technicians,detailed,"2,390",0.6,0.133,1.15
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,"13,040",3.2,0.727,1.53
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-5011,Occupational Health and Safety Specialists,detailed,"14,400",9,0.802,1
6,California,2,CA,0,Cross-industry,cross-industry,1235,19-5012,Occupational Health and Safety Technicians,detailed,"3,750",11.1,0.209,1.16
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-0000,Community and Social Service Occupations,major,"360,300",1.1,20.077,1.26
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,"41,380",1.9,2.306,1.07
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1013,Marriage and Family Therapists,detailed,"30,890",5.4,1.721,4.13
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1015,Rehabilitation Counselors,detailed,"12,280",6.9,0.684,1.23
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,"54,660",4.9,3.046,1.16
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1019,"Counselors, All Other",detailed,"14,210",7.1,0.792,3.38
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1021,"Child, Family, and School Social Workers",detailed,"48,190",2,2.685,1.16
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1022,Healthcare Social Workers,detailed,"19,660",6.6,1.096,0.9
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1023,Mental Health and Substance Abuse Social Workers,detailed,"17,520",3.8,0.976,1.29
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1029,"Social Workers, All Other",detailed,"7,470",7.9,0.416,1.08
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1091,Health Education Specialists,detailed,"9,260",4.3,0.516,1.36
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,"13,420",0,0.748,1.32
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1093,Social and Human Service Assistants,detailed,"55,220",2.5,3.077,1.14
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1094,Community Health Workers,detailed,"8,730",4.8,0.487,1.26
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-1099,"Community and Social Service Specialists, All Other",detailed,"15,940",7.4,0.888,1.42
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-2011,Clergy,detailed,"6,360",5.2,0.354,0.95
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-2021,"Directors, Religious Activities and Education",detailed,"3,930",9.3,0.219,1.43
6,California,2,CA,0,Cross-industry,cross-industry,1235,21-2099,"Religious Workers, All Other",detailed,"1,190",18.3,0.066,0.85
6,California,2,CA,0,Cross-industry,cross-industry,1235,23-0000,Legal Occupations,major,"151,180",1.9,8.424,1.03
6,California,2,CA,0,Cross-industry,cross-industry,1235,23-1011,Lawyers,detailed,"94,300",3.5,5.254,1.09
6,California,2,CA,0,Cross-industry,cross-industry,1235,23-1012,Judicial Law Clerks,detailed,"1,550",11.2,0.086,0.89
6,California,2,CA,0,Cross-industry,cross-industry,1235,23-2011,Paralegals and Legal Assistants,detailed,"39,220",4.4,2.186,0.94
6,California,2,CA,0,Cross-industry,cross-industry,1235,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,"4,270",7.7,0.238,0.73
6,California,2,CA,0,Cross-industry,cross-industry,1235,23-2099,"Legal Support Workers, All Other",detailed,"7,070",11.7,0.394,1.37
6,California,2,CA,0,Cross-industry,cross-industry,1235,25-0000,Educational Instruction and Library Occupations,major,"1,008,660",0.4,56.206,0.98
6,California,2,CA,0,Cross-industry,cross-industry,1235,25-1011,"Business Teachers, Postsecondary",detailed,"5,580",1,0.311,0.57
6,California,2,CA,0,Cross-industry,cross-industry,1235,25-1021,"Computer Science Teachers, Postsecondary",detailed,"3,330",2.7,0.186,0.78
6,California,2,CA,0,Cross-industry,cross-industry,1235,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,"4,120",0.6,0.23,0.72
6,California,2,CA,0,Cross-industry,cross-industry,1235,25-1031,"Architecture Teachers, Postsecondary",detailed,820,0.5,0.046,0.83
6,California,2,CA,0,Cross-industry,cross-industry,1235,25-1032,"Engineering Teachers, Postsecondary",detailed,"2,600",1.9,0.145,0.57
6,California,2,CA,0,Cross-industry,cross-industry,1235,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,160,2.9,0.009,0.17
